plaza,cabin,big,1
frame,chandelier,big,-1
farmhouse,mosque,big,-1
firing,rolling,fast,1
arugula,soybean,heavy,0
watermelon,wasabi,heavy,1
toy,snake,heavy,-1
motorboat,dinghy,fast,1
shallot,sesame,heavy,1
ranch,tower,big,-1
papaya,parsley,heavy,1
auditorium,showroom,big,1
mouth,skull,big,-1
raspberry,ginger,heavy,-1
sesame,leek,heavy,-1
darting,galloping,fast,1
boat,tractor,fast,1
apartment,brewery,big,-1
canola,chard,heavy,-1
adapter,headphone,heavy,-1
groin,heart,big,1
posing,chasing,fast,-1
jicama,radish,heavy,1
toy,bunny,heavy,0
rickshaw,helicopter,fast,-1
squirrel,crab,fast,1
temple,bistro,big,1
puppy,shark,heavy,-1
leek,avocado,heavy,-1
school,garage,big,1
squid,lion,fast,-1
coriander,shallot,heavy,-1
temple,casino,big,1
cupboard,dresser,big,1
joystick,camcorder,heavy,-1
capsicum,radish,heavy,-1
whale,deer,fast,-1
floating,cruising,fast,-1
railing,carpet,big,1
chest,throat,big,1
gym,duplex,big,-1
steamboat,minivan,fast,-1
arena,shop,big,1
counter,chest,big,1
kangaroo,hummingbird,heavy,1
modem,connector,heavy,1
mosque,hostel,big,1
kayak,camry,fast,-1
trailer,rover,fast,-1
telephone,controller,heavy,1
walking,splashing,fast,-1
hurtling,dashing,fast,1
insect,crocodile,fast,-1
butt,thorax,big,-1
studio,manor,big,-1
bar,countertop,big,1
trawling,stomping,fast,-1
moping,pushing,fast,-1
receiver,telephone,heavy,1
shop,townhouse,big,-1
laptop,keyboard,heavy,1
raccoon,frog,heavy,1
gallivanting,floating,fast,1
earphone,dongle,heavy,0
cantaloupe,mustard,heavy,1
adaptor,microphone,heavy,-1
darting,snorkeling,fast,1
melon,papaya,heavy,1
rover,truck,fast,1
door,synagogue,big,-1
cruising,dashing,fast,-1
neck,artery,big,1
caf\u00e9,synagogue,big,-1
sideboard,chest,big,1
foot,eyelid,big,1
hose,sensor,heavy,1
elbow,kidney,big,-1
adaptor,sensor,heavy,1
camera,webcam,heavy,1
cacao,lime,heavy,1
rabbit,skunk,fast,1
palm,skin,big,-1
marina,palace,big,1
radish,geranium,heavy,1
jicama,sorghum,heavy,1
moving,drifting,fast,-1
tract,belly,big,-1
crocodile,poodle,heavy,1
driving,drifting,fast,-1
tendon,wrist,big,-1
floating,pushing,fast,-1
raccoon,alligator,fast,-1
pavilion,mosque,big,-1
sidewalk,corner,big,1
connector,socket,heavy,-1
puppy,goat,heavy,-1
turtle,gorilla,fast,-1
socket,modem,heavy,-1
hippo,gorilla,heavy,1
toilet,bookcase,big,-1
strolling,blowing,fast,-1
beach,resort,big,1
otter,frog,heavy,1
dog,rabbit,heavy,1
showroom,hall,big,1
neck,finger,big,1
butt,artery,big,-1
antenna,scanner,heavy,-1
sleigh,aircraft,fast,-1
daybed,throne,big,1
vein,nerve,big,0
cacao,arugula,heavy,1
pear,raspberry,heavy,1
skunk,lemur,heavy,0
bedside,rack,big,-1
meandering,traversing,fast,1
gate,cafeteria,big,-1
ipod,ssd,heavy,1
carrot,orange,heavy,-1
pigeon,leopard,heavy,-1
side,bed,big,-1
trudging,scooting,fast,-1
ambling,dragging,fast,-1
hotel,appartment,big,0
farm,arena,big,1
sofa,headboard,big,1
tiger,wolf,heavy,1
groundnut,arugula,heavy,1
shoulder,butt,big,1
showroom,pavilion,big,1
gliding,hobbling,fast,1
cattle,shark,fast,-1
parsnip,pear,heavy,1
minivan,rocket,fast,-1
jet,automobile,fast,1
poodle,kangaroo,heavy,-1
palm,parsley,heavy,1
ssd,keyboard,heavy,-1
